# Au,Pd,Pt,Ru
0.020,0.311,0.311,0.358
0.051,0.500,0.357,0.092
0.054,0.511,0.413,0.022
0.044,0.495,0.407,0.055
0.033,0.489,0.433,0.044
0.035,0.512,0.453,0.000
0.035,0.512,0.453,0.000
