# Au,Pd,Pt,Ru
0.024,0.314,0.392,0.270
0.057,0.488,0.382,0.073
0.061,0.496,0.426,0.017
0.062,0.496,0.434,0.009
0.062,0.500,0.438,0.000
0.062,0.500,0.438,0.000
