# Au,Pd,Pt,Ru
0.030,0.368,0.334,0.267
0.063,0.500,0.401,0.035
0.058,0.540,0.394,0.007
0.058,0.543,0.391,0.007
0.059,0.548,0.393,0.000
0.059,0.548,0.393,0.000
