# Au,Pd,Pt,Ru
0.017,0.341,0.314,0.328
0.048,0.452,0.444,0.056
0.041,0.463,0.447,0.049
0.042,0.475,0.475,0.008
0.042,0.483,0.467,0.008
0.042,0.487,0.471,0.000
0.042,0.487,0.471,0.000
