# Au,Pd,Pt,Ru
0.017,0.389,0.291,0.304
0.039,0.519,0.395,0.047
0.038,0.504,0.406,0.053
0.038,0.508,0.415,0.038
0.041,0.541,0.410,0.008
0.041,0.541,0.410,0.008
