# Au,Pd,Pt,Ru
0.044,0.361,0.314,0.280
0.083,0.462,0.386,0.069
0.088,0.460,0.401,0.051
0.092,0.477,0.408,0.023
0.094,0.480,0.417,0.008
0.094,0.480,0.417,0.008
