# Au,Pd,Pt,Ru
0.020,0.314,0.331,0.334
0.054,0.446,0.429,0.071
0.053,0.434,0.451,0.062
0.058,0.447,0.495,0.000
0.059,0.455,0.485,0.000
0.059,0.455,0.485,0.000
