# Au,Pd,Pt,Ru
0.014,0.341,0.341,0.304
0.044,0.407,0.504,0.044
0.044,0.441,0.478,0.037
0.054,0.442,0.488,0.016
0.064,0.440,0.496,0.000
0.064,0.440,0.496,0.000
0.064,0.440,0.496,0.000
