# Au,Pd,Pt,Ru
0.014,0.334,0.324,0.328
0.033,0.479,0.438,0.050
0.032,0.508,0.421,0.040
0.032,0.548,0.413,0.008
0.033,0.561,0.398,0.008
0.033,0.569,0.398,0.000
0.033,0.569,0.398,0.000
