# Au,Pd,Pt,Ru
0.017,0.311,0.324,0.348
0.040,0.410,0.470,0.080
0.041,0.439,0.510,0.010
0.040,0.450,0.490,0.020
0.041,0.443,0.505,0.010
0.041,0.443,0.505,0.010
