# Au,Pd,Pt,Ru
0.010,0.321,0.321,0.348
0.042,0.458,0.425,0.075
0.045,0.514,0.405,0.036
0.046,0.500,0.444,0.009
0.046,0.509,0.435,0.009
0.046,0.519,0.435,0.000
0.046,0.519,0.435,0.000
