# Au,Pd,Pt,Ru
0.034,0.372,0.338,0.257
0.066,0.460,0.431,0.044
0.063,0.433,0.465,0.039
0.067,0.454,0.462,0.017
0.068,0.458,0.466,0.008
0.068,0.458,0.466,0.008
