# Au,Pd,Pt,Ru
0.030,0.307,0.351,0.311
0.054,0.392,0.492,0.062
0.058,0.392,0.508,0.042
0.061,0.383,0.539,0.017
0.061,0.383,0.548,0.009
0.061,0.383,0.548,0.009
