# Au,Pd,Pt,Ru
0.003,0.304,0.338,0.355
0.000,0.453,0.453,0.094
0.000,0.491,0.481,0.028
0.010,0.505,0.467,0.019
0.010,0.524,0.467,0.000
0.010,0.524,0.467,0.000
