# Au,Pd,Pt,Ru
0.014,0.341,0.358,0.287
0.059,0.449,0.419,0.074
0.053,0.459,0.451,0.038
0.047,0.480,0.465,0.008
0.048,0.484,0.468,0.000
0.048,0.484,0.468,0.000
