# Au,Pd,Pt,Ru
0.034,0.368,0.284,0.314
0.047,0.465,0.411,0.078
0.047,0.500,0.391,0.062
0.052,0.522,0.417,0.009
0.054,0.527,0.420,0.000
0.055,0.536,0.409,0.000
0.055,0.536,0.409,0.000
