# Au,Pd,Pt,Ru
0.024,0.287,0.351,0.338
0.076,0.371,0.477,0.076
0.076,0.394,0.515,0.015
0.075,0.410,0.500,0.015
0.075,0.410,0.507,0.007
0.075,0.414,0.511,0.000
0.075,0.414,0.511,0.000
