# Au,Pd,Pt,Ru
0.034,0.355,0.314,0.297
0.033,0.430,0.464,0.073
0.029,0.457,0.493,0.021
0.028,0.461,0.504,0.007
0.028,0.462,0.497,0.014
0.028,0.465,0.500,0.007
0.028,0.465,0.500,0.007
