# Au,Pd,Pt,Ru
0.024,0.368,0.318,0.291
0.044,0.467,0.423,0.066
0.038,0.504,0.427,0.031
0.039,0.508,0.430,0.023
0.040,0.508,0.444,0.008
0.040,0.508,0.452,0.000
0.040,0.508,0.452,0.000
