# Au,Pd,Pt,Ru
0.003,0.382,0.324,0.291
0.021,0.414,0.483,0.083
0.024,0.439,0.504,0.033
0.025,0.442,0.517,0.017
0.026,0.435,0.530,0.009
0.026,0.435,0.530,0.009
