# Au,Pd,Pt,Ru
0.024,0.301,0.341,0.334
0.056,0.424,0.440,0.080
0.061,0.426,0.461,0.052
0.071,0.434,0.469,0.027
0.065,0.435,0.481,0.019
0.065,0.435,0.481,0.019
0.066,0.443,0.481,0.009
0.065,0.435,0.491,0.009
0.065,0.435,0.491,0.009
