# Au,Pd,Pt,Ru
0.010,0.348,0.365,0.277
0.041,0.480,0.439,0.041
0.041,0.480,0.463,0.016
0.042,0.475,0.483,0.000
0.041,0.479,0.479,0.000
0.041,0.479,0.479,0.000
