# Au,Pd,Pt,Ru
0.014,0.351,0.351,0.284
0.041,0.472,0.463,0.024
0.040,0.460,0.452,0.048
0.051,0.475,0.475,0.000
0.051,0.470,0.479,0.000
0.051,0.470,0.479,0.000
