# Au,Pd,Pt,Ru
0.037,0.324,0.345,0.294
0.071,0.464,0.414,0.050
0.085,0.465,0.423,0.028
0.088,0.467,0.445,0.000
0.088,0.474,0.438,0.000
0.088,0.474,0.438,0.000
