# Au,Pd,Pt,Ru
0.020,0.314,0.331,0.334
0.041,0.447,0.439,0.073
0.039,0.449,0.480,0.031
0.030,0.459,0.496,0.015
0.030,0.459,0.496,0.015
0.030,0.459,0.496,0.015
