# Au,Pd,Pt,Ru
0.020,0.361,0.274,0.345
0.059,0.479,0.403,0.059
0.057,0.459,0.418,0.066
0.061,0.474,0.439,0.026
0.062,0.491,0.438,0.009
0.064,0.495,0.440,0.000
0.064,0.495,0.440,0.000
