# Au,Pd,Pt,Ru
0.020,0.338,0.334,0.307
0.039,0.398,0.477,0.086
0.041,0.402,0.525,0.033
0.040,0.408,0.528,0.024
0.039,0.409,0.528,0.024
0.039,0.409,0.528,0.024
