# Au,Pd,Pt,Ru
0.014,0.314,0.368,0.304
0.038,0.369,0.546,0.046
0.045,0.391,0.534,0.030
0.053,0.406,0.526,0.015
0.053,0.409,0.530,0.008
0.053,0.409,0.530,0.008
