# Au,Pd,Pt,Ru
0.044,0.382,0.372,0.203
0.071,0.473,0.432,0.024
0.068,0.481,0.444,0.006
0.068,0.475,0.451,0.006
0.067,0.488,0.439,0.006
0.067,0.488,0.439,0.006
