# Au,Pd,Pt,Ru
0.020,0.324,0.338,0.318
0.059,0.420,0.445,0.076
0.052,0.440,0.483,0.026
0.054,0.455,0.473,0.018
0.055,0.464,0.473,0.009
0.055,0.464,0.473,0.009
