# Au,Pd,Pt,Ru
0.017,0.338,0.348,0.297
0.037,0.385,0.511,0.067
0.036,0.384,0.514,0.065
0.023,0.403,0.550,0.023
0.024,0.415,0.545,0.016
0.025,0.426,0.533,0.016
0.025,0.434,0.541,0.000
0.025,0.434,0.541,0.000
