# Au,Pd,Pt,Ru
0.017,0.385,0.297,0.301
0.052,0.448,0.414,0.086
0.032,0.500,0.444,0.024
0.041,0.496,0.446,0.017
0.041,0.508,0.443,0.008
0.041,0.504,0.446,0.008
0.041,0.504,0.446,0.008
