# Au,Pd,Pt,Ru
0.010,0.368,0.314,0.307
0.033,0.504,0.398,0.065
0.034,0.521,0.420,0.025
0.027,0.527,0.418,0.027
0.028,0.542,0.430,0.000
0.028,0.542,0.430,0.000
0.028,0.542,0.430,0.000
