# Au,Pd,Pt,Ru
0.037,0.297,0.358,0.307
0.067,0.463,0.410,0.060
0.071,0.465,0.417,0.047
0.074,0.471,0.438,0.017
0.075,0.483,0.433,0.008
0.075,0.483,0.433,0.008
