# Au,Pd,Pt,Ru
0.020,0.331,0.314,0.334
0.049,0.401,0.479,0.070
0.056,0.427,0.468,0.048
0.049,0.447,0.463,0.041
0.049,0.467,0.484,0.000
0.049,0.459,0.484,0.008
0.049,0.459,0.492,0.000
0.049,0.459,0.492,0.000
