# Au,Pd,Pt,Ru
0.024,0.334,0.334,0.307
0.063,0.449,0.433,0.055
0.068,0.483,0.407,0.042
0.080,0.500,0.411,0.009
0.081,0.495,0.414,0.009
0.081,0.495,0.414,0.009
