# Au,Pd,Pt,Ru
0.014,0.260,0.378,0.348
0.022,0.346,0.515,0.118
0.024,0.325,0.626,0.024
0.024,0.325,0.642,0.008
0.025,0.331,0.645,0.000
0.025,0.331,0.645,0.000
