# Au,Pd,Pt,Ru
0.003,0.304,0.368,0.324
0.015,0.438,0.462,0.085
0.016,0.464,0.480,0.040
0.017,0.458,0.517,0.008
0.017,0.466,0.517,0.000
0.017,0.466,0.517,0.000
