# Au,Pd,Pt,Ru
0.020,0.314,0.318,0.348
0.037,0.477,0.449,0.037
0.038,0.481,0.452,0.029
0.051,0.490,0.429,0.031
0.053,0.516,0.432,0.000
0.053,0.516,0.432,0.000
