# Au,Pd,Pt,Ru
0.037,0.355,0.348,0.260
0.066,0.467,0.419,0.048
0.071,0.494,0.423,0.013
0.071,0.494,0.429,0.006
0.071,0.494,0.429,0.006
0.071,0.494,0.429,0.006
