area,Ru,Pd,Ag
9.900000000000000000e+01,3.014150021610342378e+01,2.908919945860089484e+01,4.076930032529567427e+01
1.000000000000000000e+02,3.125328633446556736e+01,2.992087543732471744e+01,3.882583822820971875e+01
1.010000000000000000e+02,3.236506569133478450e+01,3.075254635808716230e+01,3.688238795057804253e+01
1.020000000000000000e+02,3.347683828677277518e+01,3.158421222093437564e+01,3.493894949229284919e+01
1.030000000000000000e+02,3.458860412084120384e+01,3.241587302591250364e+01,3.299552285324629253e+01
1.040000000000000000e+02,3.570036319360174559e+01,3.324752877306767118e+01,3.105210803333057257e+01
1.050000000000000000e+02,3.681211550511609687e+01,3.407917946244603513e+01,2.910870503243787155e+01
1.060000000000000000e+02,3.792386105544592567e+01,3.491082509409370971e+01,2.716531385046036107e+01
1.070000000000000000e+02,3.903559984465291421e+01,3.574246566805685887e+01,2.522193448729022691e+01
1.080000000000000000e+02,4.014733187279873050e+01,3.657410118438161817e+01,2.327856694281965488e+01
1.090000000000000000e+02,4.125905713994505675e+01,3.740573164311410181e+01,2.133521121694083433e+01
1.100000000000000000e+02,4.237077564615357517e+01,3.823735704430047377e+01,1.939186730954596172e+01
1.110000000000000000e+02,4.348248739148593955e+01,3.906897738798684117e+01,1.744853522052721573e+01
1.120000000000000000e+02,4.459419237600385344e+01,3.990059267421936795e+01,1.550521494977678216e+01
1.130000000000000000e+02,4.570589059976896351e+01,4.073220290304416835e+01,1.356190649718686814e+01
1.140000000000000000e+02,4.681758206284295198e+01,4.156380807450738502e+01,1.161860986264965589e+01
1.150000000000000000e+02,4.792926676528750107e+01,4.239540818865516059e+01,9.675325046057347222e+00
1.160000000000000000e+02,2.298841424351660123e+01,2.883541491327261497e+01,4.817617084321078380e+01
1.170000000000000000e+02,2.410023187397798594e+01,2.966709896514744216e+01,4.623266916087456480e+01
1.180000000000000000e+02,2.521204274269543788e+01,3.049877795896739485e+01,4.428917929833716016e+01
1.190000000000000000e+02,2.632384684973065347e+01,3.133045189477861570e+01,4.234570125549073083e+01
1.200000000000000000e+02,2.743564419514531494e+01,3.216212077262724023e+01,4.040223503222745194e+01
1.210000000000000000e+02,2.854743477900108672e+01,3.299378459255941465e+01,3.845878062843949863e+01
