# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,S_d
0.50,0.00,0.40,0.10,0.55,0.00,0.45,0.00,0.51,0.00,0.42,0.07,0.6850
0.50,0.00,0.30,0.20,0.62,0.00,0.38,0.00,0.54,0.00,0.33,0.14,0.5667
0.50,0.00,0.20,0.30,0.70,0.00,0.30,0.00,0.57,0.00,0.23,0.20,0.4267
0.50,0.00,0.10,0.40,0.82,0.00,0.18,0.00,0.60,0.00,0.13,0.27,0.3800
0.50,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.66,0.00,0.00,0.34,0.3183
0.40,0.60,0.00,0.00,0.41,0.59,0.00,0.00,0.41,0.59,0.00,0.00,0.9900
0.40,0.50,0.10,0.00,0.41,0.51,0.08,0.00,0.41,0.49,0.10,0.00,0.9933
0.40,0.50,0.00,0.10,0.43,0.57,0.00,0.00,0.42,0.51,0.00,0.07,0.6800
0.40,0.40,0.20,0.00,0.41,0.42,0.17,0.00,0.40,0.39,0.21,0.00,0.9933
0.40,0.40,0.10,0.10,0.43,0.45,0.12,0.00,0.42,0.40,0.11,0.07,0.6833
0.40,0.40,0.00,0.20,0.48,0.52,0.00,0.00,0.44,0.42,0.00,0.14,0.5817
0.40,0.30,0.30,0.00,0.41,0.32,0.27,0.00,0.40,0.30,0.30,0.00,0.9967
0.40,0.30,0.20,0.10,0.43,0.36,0.21,0.00,0.42,0.31,0.21,0.07,0.6833
0.40,0.30,0.10,0.20,0.48,0.41,0.11,0.00,0.44,0.32,0.10,0.14,0.5883
0.40,0.30,0.00,0.30,0.56,0.44,0.00,0.00,0.47,0.33,0.00,0.20,0.4567
0.40,0.20,0.40,0.00,0.41,0.22,0.37,0.00,0.40,0.19,0.41,0.00,1.0000
0.40,0.20,0.30,0.10,0.43,0.25,0.32,0.00,0.42,0.20,0.31,0.07,0.6850
0.40,0.20,0.20,0.20,0.49,0.26,0.25,0.00,0.44,0.21,0.22,0.14,0.5633
0.40,0.20,0.10,0.30,0.58,0.27,0.15,0.00,0.47,0.22,0.12,0.20,0.4617
0.40,0.20,0.00,0.40,0.66,0.34,0.00,0.00,0.50,0.23,0.00,0.27,0.3867
0.40,0.10,0.50,0.00,0.41,0.11,0.48,0.00,0.40,0.09,0.50,0.00,1.0000
0.40,0.10,0.40,0.10,0.43,0.12,0.45,0.00,0.42,0.09,0.42,0.07,0.6850
0.40,0.10,0.30,0.20,0.49,0.13,0.38,0.00,0.44,0.10,0.33,0.13,0.5617
0.40,0.10,0.20,0.30,0.57,0.13,0.30,0.00,0.47,0.10,0.23,0.20,0.4417
0.40,0.10,0.10,0.40,0.65,0.16,0.19,0.00,0.50,0.11,0.13,0.26,0.3933
0.40,0.10,0.00,0.50,0.83,0.17,0.00,0.00,0.55,0.12,0.00,0.33,0.3117
0.40,0.00,0.60,0.00,0.41,0.00,0.59,0.00,0.41,0.00,0.59,0.00,1.0000
0.40,0.00,0.50,0.10,0.43,0.00,0.57,0.00,0.42,0.00,0.51,0.07,0.6850
0.40,0.00,0.40,0.20,0.49,0.00,0.51,0.00,0.44,0.00,0.43,0.13,0.5617
0.40,0.00,0.30,0.30,0.57,0.00,0.43,0.00,0.47,0.00,0.33,0.20,0.4383
0.40,0.00,0.20,0.40,0.67,0.00,0.32,0.01,0.50,0.00,0.24,0.26,0.4183
0.40,0.00,0.10,0.50,0.80,0.00,0.18,0.02,0.54,0.00,0.12,0.34,0.3150
0.40,0.00,0.00,0.60,1.00,0.00,0.00,0.00,0.61,0.00,0.00,0.39,0.2283
0.30,0.70,0.00,0.00,0.31,0.69,0.00,0.00,0.31,0.69,0.00,0.00,1.0000
0.30,0.60,0.10,0.00,0.31,0.61,0.08,0.00,0.31,0.59,0.10,0.00,1.0000
0.30,0.60,0.00,0.10,0.31,0.69,0.00,0.00,0.32,0.62,0.00,0.07,0.6750
0.30,0.50,0.20,0.00,0.32,0.51,0.17,0.00,0.31,0.49,0.21,0.00,1.0000
0.30,0.50,0.10,0.10,0.31,0.57,0.12,0.00,0.32,0.51,0.11,0.07,0.6833
0.30,0.50,0.00,0.20,0.37,0.63,0.00,0.00,0.33,0.53,0.00,0.14,0.5833
0.30,0.40,0.30,0.00,0.31,0.42,0.27,0.00,0.31,0.39,0.30,0.00,1.0000
0.30,0.40,0.20,0.10,0.31,0.48,0.21,0.00,0.32,0.41,0.21,0.07,0.6850
0.30,0.40,0.10,0.20,0.37,0.53,0.10,0.00,0.34,0.42,0.10,0.14,0.5833
0.30,0.40,0.00,0.30,0.45,0.55,0.00,0.00,0.36,0.44,0.00,0.20,0.4583
0.30,0.30,0.40,0.00,0.31,0.32,0.37,0.00,0.31,0.29,0.41,0.00,1.0000
0.30,0.30,0.30,0.10,0.31,0.36,0.33,0.00,0.32,0.30,0.32,0.07,0.6850
0.30,0.30,0.20,0.20,0.38,0.38,0.24,0.00,0.34,0.31,0.22,0.14,0.5650
0.30,0.30,0.10,0.30,0.47,0.40,0.13,0.00,0.35,0.33,0.12,0.20,0.4717
0.30,0.30,0.00,0.40,0.52,0.48,0.00,0.00,0.39,0.35,0.00,0.26,0.3750
