# Ag_i,Pd_i,Ru_i,Ag_f,Pd_f,Ru_f
0.303181,0.393932,0.302887,0.483871,0.516129,0.000000
0.283747,0.402248,0.314005,0.388664,0.607287,0.004049
0.264313,0.410565,0.325122,0.408163,0.591837,0.000000
0.244879,0.418881,0.336240,0.368201,0.627615,0.004184
0.225446,0.427197,0.347357,0.337900,0.662100,0.000000
0.206012,0.435513,0.358475,0.338095,0.661905,0.000000
0.186579,0.443829,0.369592,0.286920,0.713080,0.000000
0.167146,0.452145,0.380709,0.266667,0.728889,0.004444
0.147713,0.460461,0.391826,0.210257,0.779487,0.010256
0.128280,0.468777,0.402943,0.185000,0.810000,0.005000
0.108847,0.477093,0.414060,0.193548,0.797235,0.009217
0.089415,0.485408,0.425177,0.145923,0.845493,0.008584
0.474420,0.349813,0.175767,0.585526,0.414474,0.000000
0.454985,0.358130,0.186885,0.545205,0.452055,0.002740
0.435550,0.366446,0.198004,0.564576,0.435424,0.000000
0.416116,0.374762,0.209122,0.500000,0.500000,0.000000
0.396681,0.383079,0.220240,0.509868,0.490132,0.000000
0.377247,0.391395,0.231358,0.481928,0.518072,0.000000
0.357812,0.399712,0.242476,0.457490,0.542510,0.000000
0.338378,0.408028,0.253594,0.471698,0.528302,0.000000
0.318944,0.416344,0.264712,0.428571,0.571429,0.000000
0.299510,0.424661,0.275829,0.385214,0.614786,0.000000
0.280076,0.432977,0.286947,0.379447,0.620553,0.000000
0.260643,0.441293,0.298064,0.388489,0.611511,0.000000
0.241209,0.449609,0.309182,0.333333,0.662699,0.003968
0.221776,0.457925,0.320299,0.300412,0.699588,0.000000
0.202342,0.466241,0.331417,0.265873,0.734127,0.000000
0.182909,0.474557,0.342534,0.301587,0.698413,0.000000
0.163476,0.482873,0.353651,0.297071,0.702929,0.000000
0.144043,0.491188,0.364769,0.227468,0.772532,0.000000
0.124610,0.499504,0.375886,0.236842,0.750000,0.013158
0.105178,0.507819,0.387003,0.198276,0.801724,0.000000
0.085745,0.516135,0.398120,0.107143,0.882653,0.010204
0.470749,0.380542,0.148709,0.516418,0.483582,0.000000
0.451314,0.388859,0.159827,0.559271,0.440729,0.000000
0.431879,0.397175,0.170946,0.554422,0.445578,0.000000
0.412445,0.405491,0.182064,0.509434,0.490566,0.000000
0.393010,0.413808,0.193182,0.517350,0.482650,0.000000
0.373576,0.422124,0.204300,0.461059,0.538941,0.000000
0.354142,0.430440,0.215418,0.479730,0.520270,0.000000
0.334708,0.438756,0.226536,0.400641,0.599359,0.000000
0.315274,0.447072,0.237654,0.445255,0.554745,0.000000
0.295840,0.455389,0.248771,0.428571,0.571429,0.000000
0.276406,0.463705,0.259889,0.413793,0.586207,0.000000
0.256973,0.472020,0.271007,0.386029,0.610294,0.003677
0.237539,0.480337,0.282124,0.364964,0.635036,0.000000
0.218106,0.488652,0.293242,0.379182,0.620818,0.000000
0.198673,0.496968,0.304359,0.193548,0.806452,0.000000
0.179240,0.505284,0.315476,0.268595,0.731405,0.000000
0.159807,0.513599,0.326594,0.198347,0.801653,0.000000
0.140374,0.521915,0.337711,0.191489,0.800000,0.008511
0.120941,0.530231,0.348828,0.207048,0.792952,0.000000
0.101508,0.538547,0.359945,0.175573,0.824427,0.000000
0.082076,0.546862,0.371062,0.130081,0.861789,0.008130
0.467078,0.411271,0.121651,0.544669,0.455331,0.000000
0.447644,0.419587,0.132769,0.513736,0.486264,0.000000
0.428209,0.427903,0.143888,0.503086,0.496914,0.000000
0.408774,0.436220,0.155006,0.455090,0.544910,0.000000
0.389340,0.444536,0.166124,0.440922,0.559078,0.000000
0.369906,0.452852,0.177242,0.440625,0.559375,0.000000
0.350472,0.461168,0.188360,0.385965,0.614035,0.000000
0.331038,0.469484,0.199478,0.375000,0.625000,0.000000
0.311604,0.477800,0.210596,0.359873,0.640127,0.000000
0.292170,0.486116,0.221714,0.343558,0.656442,0.000000
0.272736,0.494432,0.232832,0.408163,0.591837,0.000000
0.253303,0.502748,0.243949,0.351266,0.648734,0.000000
0.233869,0.511064,0.255067,0.292096,0.707904,0.000000
0.214436,0.519380,0.266184,0.253425,0.746575,0.000000
0.195003,0.527695,0.277302,0.300813,0.695122,0.004065
0.175570,0.536011,0.288419,0.228814,0.771186,0.000000
0.156137,0.544326,0.299537,0.247059,0.752941,0.000000
0.136704,0.552642,0.310654,0.175097,0.821012,0.003891
0.117271,0.560958,0.321771,0.148594,0.851406,0.000000
0.097839,0.569273,0.332888,0.133028,0.862385,0.004587
0.078407,0.577588,0.344005,0.128205,0.867521,0.004274
0.463407,0.442000,0.094593,0.530151,0.469849,0.000000
0.443973,0.450316,0.105711,0.536232,0.463768,0.000000
0.424538,0.458632,0.116830,0.497297,0.502703,0.000000
0.405104,0.466948,0.127948,0.474093,0.525907,0.000000
0.385670,0.475264,0.139066,0.464986,0.535014,0.000000
0.366235,0.483580,0.150185,0.459391,0.540609,0.000000
0.346801,0.491896,0.161303,0.411602,0.588398,0.000000
0.327367,0.500212,0.172421,0.390244,0.609756,0.000000
0.307934,0.508528,0.183538,0.389222,0.610778,0.000000
0.288500,0.516844,0.194656,0.382857,0.617143,0.000000
0.269066,0.525160,0.205774,0.305369,0.694631,0.000000
0.249633,0.533475,0.216892,0.280142,0.719858,0.000000
0.230199,0.541791,0.228010,0.282230,0.717770,0.000000
0.210766,0.550107,0.239127,0.286245,0.713755,0.000000
0.191333,0.558422,0.250245,0.287197,0.712803,0.000000
0.171900,0.566738,0.261362,0.252708,0.747292,0.000000
0.152467,0.575053,0.272480,0.234201,0.765799,0.000000
0.133035,0.583368,0.283597,0.203463,0.796537,0.000000
0.113602,0.591684,0.294714,0.138075,0.857741,0.004184
0.094170,0.599999,0.305831,0.132576,0.867424,0.000000
0.074737,0.608315,0.316948,0.112903,0.887097,0.000000
0.440302,0.481044,0.078654,0.473822,0.526178,0.000000
0.420868,0.489360,0.089772,0.469586,0.530414,0.000000
0.401433,0.497676,0.100891,0.435768,0.564232,0.000000
0.381999,0.505992,0.112009,0.421751,0.578249,0.000000
0.362565,0.514308,0.123127,0.394161,0.605839,0.000000
0.343131,0.522624,0.134245,0.340206,0.659794,0.000000
0.323697,0.530940,0.145363,0.439560,0.560440,0.000000
0.304263,0.539256,0.156481,0.336420,0.663580,0.000000
0.284830,0.547571,0.167599,0.339181,0.660819,0.000000
0.265396,0.555887,0.178717,0.333333,0.666667,0.000000
0.245963,0.564202,0.189835,0.309446,0.690554,0.000000
0.226530,0.572518,0.200952,0.269697,0.730303,0.000000
0.207096,0.580834,0.212070,0.279863,0.720137,0.000000
0.187663,0.589149,0.223188,0.210702,0.789298,0.000000
0.168231,0.597464,0.234305,0.240000,0.760000,0.000000
0.148798,0.605780,0.245422,0.167883,0.832117,0.000000
0.129365,0.614095,0.256540,0.177700,0.822300,0.000000
0.109933,0.622410,0.267657,0.137405,0.862595,0.000000
0.090500,0.630726,0.278774,0.104651,0.895349,0.000000
0.436631,0.511772,0.051597,0.465696,0.534304,0.000000
0.417197,0.520088,0.062715,0.434988,0.565012,0.000000
0.397763,0.528404,0.073833,0.420225,0.579775,0.000000
0.378328,0.536720,0.084952,0.438202,0.561798,0.000000
0.358894,0.545036,0.096070,0.389744,0.610256,0.000000
0.339461,0.553351,0.107188,0.355372,0.644628,0.000000
0.320027,0.561667,0.118306,0.330484,0.669516,0.000000
0.300593,0.569983,0.129424,0.363636,0.636364,0.000000
0.281160,0.578298,0.140542,0.324859,0.675141,0.000000
0.261726,0.586614,0.151660,0.301136,0.698864,0.000000
0.242293,0.594929,0.162778,0.261838,0.738162,0.000000
0.222860,0.603245,0.173895,0.253086,0.746914,0.000000
0.203427,0.611560,0.185013,0.280645,0.719355,0.000000
0.183994,0.619875,0.196131,0.217523,0.782477,0.000000
0.164561,0.628191,0.207248,0.216301,0.783699,0.000000
0.145128,0.636506,0.218366,0.162963,0.837037,0.000000
0.125696,0.644821,0.229483,0.158103,0.841897,0.000000
0.106263,0.653136,0.240601,0.125424,0.874576,0.000000
0.086831,0.661451,0.251718,0.111511,0.888489,0.000000
0.413526,0.550816,0.035658,0.421154,0.578846,0.000000
0.394092,0.559132,0.046776,0.435065,0.564935,0.000000
0.374658,0.567447,0.057895,0.394009,0.605991,0.000000
0.355224,0.575763,0.069013,0.377828,0.622172,0.000000
0.335790,0.584079,0.080131,0.371007,0.628993,0.000000
0.316357,0.592394,0.091249,0.333333,0.666667,0.000000
0.296923,0.600710,0.102367,0.293963,0.706037,0.000000
0.277490,0.609025,0.113485,0.298050,0.701950,0.000000
0.258056,0.617341,0.124603,0.272472,0.727528,0.000000
0.238623,0.625656,0.135721,0.322086,0.677914,0.000000
0.219190,0.633971,0.146839,0.263158,0.736842,0.000000
0.199757,0.642287,0.157956,0.255255,0.744745,0.000000
0.180324,0.650602,0.169074,0.182724,0.817276,0.000000
0.160891,0.658917,0.180192,0.210938,0.789062,0.000000
0.141459,0.667232,0.191309,0.207602,0.792398,0.000000
0.122026,0.675547,0.202427,0.159609,0.840391,0.000000
0.102594,0.683862,0.213544,0.129825,0.870175,0.000000
0.390422,0.589859,0.019719,0.425960,0.574040,0.000000
0.370987,0.598175,0.030838,0.363636,0.636364,0.000000
0.351554,0.606490,0.041956,0.334016,0.665984,0.000000
0.332120,0.614806,0.053074,0.352174,0.647826,0.000000
0.312687,0.623121,0.064192,0.296037,0.703963,0.000000
0.293253,0.631437,0.075310,0.309859,0.690141,0.000000
0.273820,0.639752,0.086428,0.339152,0.660848,0.000000
0.254386,0.648067,0.097547,0.273684,0.726316,0.000000
0.234953,0.656383,0.108664,0.268229,0.731771,0.000000
0.215520,0.664698,0.119782,0.275362,0.724638,0.000000
0.196087,0.673013,0.130900,0.202667,0.797333,0.000000
0.176654,0.681328,0.142018,0.190883,0.809117,0.000000
0.157222,0.689643,0.153135,0.173295,0.826705,0.000000
0.137789,0.697958,0.164253,0.141994,0.858006,0.000000
0.118357,0.706273,0.175370,0.156923,0.843077,0.000000
0.367317,0.628902,0.003781,0.392857,0.607143,0.000000
0.347884,0.637217,0.014899,0.360000,0.640000,0.000000
0.328450,0.645533,0.026017,0.339015,0.660985,0.000000
0.309016,0.653848,0.037136,0.334034,0.665966,0.000000
0.289583,0.662163,0.048254,0.302277,0.697723,0.000000
0.270149,0.670479,0.059372,0.305239,0.694761,0.000000
0.250716,0.678794,0.070490,0.276850,0.723150,0.000000
0.231283,0.687109,0.081608,0.224057,0.775943,0.000000
0.211850,0.695424,0.092726,0.210654,0.789346,0.000000
0.192417,0.703739,0.103844,0.187805,0.812195,0.000000
0.172985,0.712054,0.114961,0.208672,0.791328,0.000000
0.153552,0.720369,0.126079,0.162534,0.837466,0.000000
0.134120,0.728683,0.137197,0.190058,0.809942,0.000000
0.340079,0.659921,0.000000,0.386555,0.613445,0.000000
0.324442,0.675558,0.000000,0.364094,0.635906,0.000000
0.305346,0.684575,0.010079,0.313725,0.686275,0.000000
0.285913,0.692890,0.021197,0.278195,0.721805,0.000000
0.266479,0.701205,0.032316,0.301010,0.698990,0.000000
0.247046,0.709520,0.043434,0.230608,0.769392,0.000000
0.227613,0.717835,0.054552,0.219355,0.780645,0.000000
0.208180,0.726150,0.065670,0.227876,0.772124,0.000000
0.188748,0.734465,0.076787,0.215311,0.784689,0.000000
0.169315,0.742780,0.087905,0.176471,0.823529,0.000000
0.149883,0.751094,0.099023,0.209497,0.790503,0.000000
0.296640,0.703360,0.000000,0.301347,0.698653,0.000000
0.280599,0.719401,0.000000,0.248333,0.751667,0.000000
0.262809,0.731931,0.005260,0.265271,0.734729,0.000000
0.243376,0.740246,0.016378,0.242604,0.757396,0.000000
0.223943,0.748561,0.027496,0.227273,0.772727,0.000000
0.204511,0.756875,0.038614,0.190381,0.809619,0.000000
0.185078,0.765190,0.049732,0.166667,0.833333,0.000000
