# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.00,0.30,0.20,0.50,0.00,0.66,0.33,0.01,0.00,0.40,0.26,0.34,0.2967
0.00,0.30,0.10,0.60,0.00,0.71,0.23,0.06,0.00,0.44,0.16,0.39,0.2150
0.00,0.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.20,0.80,0.00,0.00,0.21,0.79,0.00,0.00,0.21,0.79,0.00,0.9967
0.00,0.20,0.70,0.10,0.00,0.20,0.80,0.00,0.00,0.21,0.72,0.07,0.6850
0.00,0.20,0.60,0.20,0.00,0.24,0.76,0.00,0.00,0.22,0.65,0.14,0.5550
0.00,0.20,0.50,0.30,0.00,0.26,0.74,0.00,0.00,0.23,0.57,0.20,0.4800
0.00,0.20,0.40,0.40,0.00,0.36,0.64,0.00,0.00,0.24,0.49,0.27,0.3700
0.00,0.20,0.30,0.50,0.00,0.39,0.56,0.05,0.00,0.26,0.40,0.34,0.3100
0.00,0.20,0.20,0.60,0.00,0.44,0.42,0.14,0.00,0.29,0.31,0.39,0.2133
0.00,0.20,0.10,0.70,0.00,0.50,0.31,0.19,0.00,0.35,0.21,0.45,0.1733
0.00,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.10,0.90,0.00,0.00,0.11,0.89,0.00,0.00,0.10,0.90,0.00,1.0000
0.00,0.10,0.80,0.10,0.00,0.10,0.90,0.00,0.00,0.10,0.83,0.07,0.6883
0.00,0.10,0.70,0.20,0.00,0.11,0.89,0.00,0.00,0.11,0.75,0.14,0.5567
0.00,0.10,0.60,0.30,0.00,0.13,0.86,0.01,0.00,0.12,0.68,0.20,0.4483
0.00,0.10,0.50,0.40,0.00,0.19,0.77,0.04,0.00,0.12,0.61,0.27,0.3883
0.00,0.10,0.40,0.50,0.00,0.20,0.66,0.14,0.00,0.13,0.53,0.34,0.3200
0.00,0.10,0.30,0.60,0.00,0.17,0.64,0.19,0.00,0.14,0.45,0.40,0.3183
0.00,0.10,0.20,0.70,0.00,0.18,0.46,0.36,0.00,0.17,0.36,0.47,0.2550
0.00,0.10,0.10,0.80,0.00,0.23,0.31,0.46,0.00,0.21,0.27,0.52,0.1683
0.00,0.10,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.0000
0.00,0.00,0.90,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.93,0.07,0.6883
0.00,0.00,0.80,0.20,0.00,0.00,1.00,0.00,0.00,0.00,0.86,0.14,0.6050
0.00,0.00,0.70,0.30,0.00,0.00,0.99,0.01,0.00,0.00,0.80,0.20,0.4350
0.00,0.00,0.60,0.40,0.00,0.00,0.93,0.07,0.00,0.00,0.72,0.28,0.4033
0.00,0.00,0.50,0.50,0.00,0.00,0.77,0.23,0.00,0.00,0.65,0.35,0.3617
0.00,0.00,0.40,0.60,0.00,0.00,0.61,0.39,0.00,0.00,0.58,0.42,0.4000
0.00,0.00,0.30,0.70,0.00,0.00,0.45,0.55,0.00,0.00,0.52,0.48,0.3450
0.00,0.00,0.20,0.80,0.00,0.00,0.24,0.76,0.00,0.00,0.43,0.57,0.3383
0.00,0.00,0.10,0.90,0.00,0.00,0.14,0.86,0.00,0.00,0.37,0.63,0.2533
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
