# Pd_i,Pt_i,Ru_i,Pd_f,Pt_f,Ru_f,Pd_d,Pt_d,Ru_d,fd
0.320,0.330,0.350,0.460,0.520,0.020,0.090,0.010,0.900,0.331
0.340,0.360,0.300,0.500,0.480,0.020,0.070,0.000,0.930,0.307
0.330,0.340,0.330,0.480,0.520,0.000,0.110,0.020,0.870,0.331
0.370,0.340,0.290,0.490,0.510,0.000,0.100,0.010,0.890,0.436
0.350,0.300,0.350,0.500,0.500,0.000,0.100,0.010,0.890,0.355
0.340,0.340,0.320,0.430,0.570,0.000,0.090,0.000,0.910,0.324
0.370,0.350,0.280,0.470,0.530,0.000,0.080,0.010,0.910,0.392
0.340,0.340,0.320,0.450,0.550,0.000,0.050,0.020,0.930,0.287
0.350,0.340,0.310,0.570,0.430,0.000,0.110,0.000,0.890,0.382
0.330,0.350,0.320,0.460,0.540,0.000,0.130,0.020,0.850,0.399
0.330,0.310,0.360,0.520,0.460,0.020,0.090,0.020,0.890,0.297
0.370,0.320,0.310,0.490,0.510,0.000,0.080,0.010,0.910,0.399
0.320,0.380,0.300,0.470,0.520,0.010,0.100,0.010,0.890,0.338
0.350,0.310,0.340,0.490,0.510,0.000,0.090,0.010,0.900,0.358
0.350,0.340,0.310,0.530,0.450,0.020,0.110,0.020,0.870,0.345
0.350,0.310,0.340,0.500,0.500,0.000,0.110,0.020,0.870,0.318
0.320,0.350,0.330,0.520,0.480,0.000,0.100,0.000,0.900,0.334
0.360,0.340,0.300,0.500,0.500,0.000,0.050,0.010,0.940,0.358
0.390,0.310,0.300,0.590,0.410,0.000,0.070,0.020,0.910,0.280
0.310,0.330,0.360,0.500,0.500,0.000,0.100,0.020,0.880,0.311
0.360,0.370,0.270,0.420,0.580,0.000,0.070,0.020,0.910,0.321
0.330,0.280,0.390,0.510,0.480,0.010,0.100,0.020,0.880,0.301
