# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,0,1,0,0,0,0,0,2,3,1,0,1,0,1,0.629824,8,7
0,0,0,0,0,0,0,1,0,2,3,1,0,1,0,1,0.531172,8,15
0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,3,0.434472,9,187
1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0.419458,9,189
0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0.687034,9,191
0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,3,0.261789,9,193
0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,3,-0.429278,9,195
0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,3,0.484059,9,198
0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,3,-0.096917,9,200
0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,3,-0.676519,9,202
0,1,0,0,0,0,0,0,0,1,1,1,0,3,1,2,0.248715,9,510
1,0,0,0,0,0,0,0,0,1,1,1,0,3,1,2,0.032737,9,512
0,0,1,0,0,0,0,0,0,1,1,1,0,3,1,2,-0.182546,9,515
0,0,0,1,0,0,0,0,0,1,1,1,0,3,1,2,-0.635716,9,517
0,0,0,0,1,0,0,0,0,1,1,1,0,3,1,2,0.083313,9,519
0,0,0,0,0,1,0,0,0,1,1,1,0,3,1,2,0.142318,9,521
0,0,0,0,0,0,1,0,0,1,1,1,0,3,1,2,-0.324080,9,523
0,0,0,0,0,0,0,1,0,1,1,1,0,3,1,2,-0.801516,9,525
