# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.080025,4,6
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,-1.094417,4,8
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-0.980500,4,16
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-2.894368,4,42
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,-1.292190,4,46
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-1.842839,4,48
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,-2.814956,4,50
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,-1.218968,4,59
0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,-0.440373,4,63
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,-0.697751,4,65
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,-0.903973,4,67
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-1.498059,4,76
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,-0.830413,3,82
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,-1.379139,4,84
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.100579,3,105
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.479119,3,109
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,-2.568796,4,111
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,-0.591748,4,113
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-1.053874,4,115
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,-1.627503,4,116
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,-2.566716,4,118
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,-2.249667,4,161
0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,-1.351871,4,167
0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,-1.995022,4,169
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-1.405824,4,196
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-2.543686,4,212
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,-0.576517,4,214
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-1.553002,4,218
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-2.525040,4,220
0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,-1.379991,5,237
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-1.529917,4,254
0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,-0.151860,4,259
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.107260,4,292
0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.065242,4,294
0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,-0.080508,4,296
0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,-1.338447,4,297
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,-0.128357,4,299
0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,-0.389884,4,301
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,-0.639840,4,303
0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,-1.196580,4,305
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-0.047380,3,308
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,-0.058640,3,310
0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,-0.352557,4,312
0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,-1.902796,4,314
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,-0.330624,4,316
0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,-0.736060,4,318
0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,-1.131622,4,320
0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,-1.758449,4,322
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,-1.782902,4,331
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,-1.140152,4,337
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-1.701754,4,339
0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,-0.533118,4,351
0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,-1.024938,4,352
0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-2.812679,4,373
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,-0.997317,3,383
0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0.054587,3,385
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,-0.410012,3,389
0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,-0.953344,3,390
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,-0.398060,3,415
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,-1.971312,4,417
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,-0.479776,4,419
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-1.182652,4,422
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,-1.748035,4,424
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.117241,3,428
0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.078237,3,432
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0.047971,3,435
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,-0.377275,4,439
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,-0.775540,4,441
1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-0.234551,4,445
0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-0.215823,4,446
0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,-0.696669,4,448
0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,-3.232082,4,450
0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,-0.775651,4,452
0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,-1.336437,4,454
0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,-2.111501,4,456
0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,-3.453226,4,458
0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,-0.652220,3,468
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0.189587,3,469
0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.012549,3,471
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,-0.070907,3,473
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,-0.439310,4,475
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.489457,4,514
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.846919,4,518
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.265823,4,520
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.137321,4,522
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.263960,4,524
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.153052,3,530
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.105663,4,532
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.548892,3,533
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,-2.833303,4,535
0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,-0.725419,4,537
0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-1.202986,4,539
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,-1.862791,4,541
0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,-2.946368,4,543
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,-1.514268,4,621
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,-0.951911,4,627
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,-1.219933,4,628
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.020199,4,631
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.242656,3,633
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.272403,3,635
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,-1.114603,3,637
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.114615,3,639
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,-0.255925,3,641
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-0.612102,4,643
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,-1.013375,4,645
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,-2.846739,4,662
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.086410,4,683
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.205000,4,685
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.471845,4,686
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,-2.773509,4,688
0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,-0.661947,4,690
