# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,n_Ag,n_Au,n_Cu,n_Ir,n_Pd,n_Pt,n_Rh,n_Ru,dE,CN,db_rowidx
0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,3,-0.704598,8,7
0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,3,-0.100992,8,13
0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,3,-0.597124,8,15
0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0.263654,6,22
0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,-1.021598,6,24
0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,0,0.392956,6,26
0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0.166206,6,28
0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,-0.315243,6,30
0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,-1.079493,6,32
0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,-0.106750,6,34
0,0,0,1,0,0,0,0,6,1,0,1,0,0,0,0,-1.550270,8,221
0,0,0,0,0,0,1,0,6,1,0,1,0,0,0,0,-0.839661,8,234
0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,0,-1.718952,8,236
0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,1,0.355333,6,244
0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,1,0.448354,6,247
0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,1,0.318638,6,249
0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,-1.183336,6,355
0,0,0,0,0,0,0,1,0,3,2,0,1,0,1,1,-1.068332,8,372
0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,2,0.512891,8,459
1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0.706776,8,461
0,0,0,1,0,0,0,0,4,1,0,1,0,0,1,1,-0.825288,8,501
0,0,0,0,0,0,0,1,4,1,0,1,0,0,1,1,-0.947306,8,508
0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,2,-0.597119,8,721
0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,2,-0.567378,8,729
0,0,0,0,0,0,0,1,2,0,1,2,1,0,1,1,-0.319661,8,1222
0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0.071431,6,1275
0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0.415020,6,1279
0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,1,0.081765,6,1281
0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,1,-0.899046,6,1283
0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0.237110,6,1285
0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,1,-0.290772,6,1288
0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,-0.888308,6,1290
0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,1,-0.809343,7,1496
1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0.336123,7,1498
0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0.334360,7,1500
0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,1,0.198567,7,1502
0,0,0,1,0,0,0,0,0,3,0,2,0,1,0,1,-0.741676,7,1504
0,0,0,0,1,0,0,0,0,3,0,2,0,1,0,1,0.202885,7,1506
0,0,0,0,0,1,0,0,0,3,0,2,0,1,0,1,0.064349,7,1508
0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,1,-0.315725,7,1510
0,0,0,1,0,0,0,0,2,2,0,3,0,0,1,0,-0.169237,8,1640
0,0,0,0,0,0,0,1,2,2,0,3,0,0,1,0,-0.203067,8,1647
